Vehicle,Operator,Year_of_First_Launch,Total_2017_Launches,Active_Launch_Sites,Min_Mass_to_LEO_KG,Max_Mass_to_LEO_kg,Min_Mass_to_Sso_kg,Max_Mass_to_SSO_kg,Min_Mass_to_GTO_kg,Max_Mass_to_GTO_kg,Cost_Min,Cost_Max
Antares,Orbital ATK,2013,1,MARS,3500,7000,2100,"3,400",,,"$80,000,000.00","$85,000,000"
Atlas V ,ULA and LMCLS,2002,6,CCAFS-VAFB,8123,18814,6424,"15,179","3,460","8,900","$110,000,000.00","$230,000,000"
Electron,Rocket Lab,2017,1,PSCA MAHIA . NZ,,150,,,$4.9M,,"$164,000,000.00","$400,000,000"
Falcon 9,SpaceX,2010,18,CCAFS-VAFB-KSC,,13150,,,4850,"4,850","$61,200,000",
Minotaur-C,Orbital ATK,2017,1,CCAFS-MARS-VAFB-WFF,1278,1458,912,"1,054",,,"$40,000,000.00","$50,000,000"
Pegasus XL ,Orbital ATK,1994,0,CCAFS-KWAJALEIN-VAFB-WFF,,450,,325,,,"$40,000,000",
Aplha,Firefly Aerospace,,,,,1000,,650,,,"$10,000,000",
Cab-3A,CubeCeb,2017,,,,5,,,,,"$250,000",
Falcon-Heavy,SpaceX,2017,,KSC VAFB,,63800,,,,"26,700","$270,000,000",
LauncherOne,Virgin Orbit,2017,,Spaceport America,,500,,300,,,"$10,000,000",
New Glenn,Blue Origin,2020,,CCAFS,,45000,,,,"13,000",,
NGL,Orbital ATK,2021,,"KSC, VAFB",,,,,,"8,500",,
Stratolaunch,Stratolaunch Systems,2018,,Mojave KSC,,3000,,"1,400",,,,
Vector R/H,Vector Space Systems,2017,,CCAFS PSCA,60,110,40,75,,,"$3,000,000",
Vulcan,ULA,2019,,CCAFS VAFB,9370,18510,7724,15179,4750,8900,"$85,000,000.00","$172,500,000"
